ID,claim,number/date,unit,source_url,excerpt,confidence,graphic_worthy,human_anchor,status,absolute_ok
CLM-018,Depth reached by James Cameron in Deepsea Challenger,10908,meters,https://www.nationalgeographic.com/expeditions/deepsea-challenge/,"The vertically oriented submersible descended 10,908 meters (35,787 ft) in 2 hours and 36 minutes.",established,yes,"Within 0.7% of the absolute deepest robotic bathymetric measurements",established,no
CLM-019,Depth reached by Victor Vescovo in DSV Limiting Factor,10928,meters,https://fivedeeps.com/pacific-ocean/,"Across these dives, the submersible's dual redundant pressure transponders recorded bottom contact at 10,928 meters.",established,yes,"Reaching the exact floor of the eastern pool across four separate commercial dives",established,no
CLM-020,Titanium hull thickness of DSV Limiting Factor,90,millimeters,https://fivedeeps.com/pacific-ocean/,"The vehicle's 90mm thick titanium pressure sphere successfully carried two occupants during each mission.",established,yes,"Precision-machined sphere engineered to withstand 100,000 metric tons of hydrostatic load",established,no
CLM-021,Compression of seawater at hadal trench floor,5,percent,https://www.whoi.edu/know-your-ocean/ocean-topics/ocean-zones/hadal-zone/,"Seawater is compressed by approximately 5% at these depths.",established,yes,"Compressing a normally incompressible fluid by one-twentieth of its volume",established,no
CLM-022,HMS Challenger II historic echo sounding in 1951,5960,fathoms,https://www.gov.uk/government/organisations/uk-hydrographic-office,"Subsequent temperature and salinity sound-velocity corrections adjusted the figure to 5,960 fathoms (10,900 meters / 35,760 feet).",established,yes,"The historic measurement that officially gave the Challenger Deep its name",established,no
CLM-023,Roman invasion of Britain under Emperor Claudius,43,AD,https://www.britannica.com/place/Roman-Britain,"In AD 43 the emperor Claudius sent four legions to Britain under the command of Aulus Plautius.",established,yes,"The landing at Richborough establishing the province of Britannia",established,no
CLM-024,Norman Conquest and Battle of Hastings,1066,date,https://www.bl.uk/onlinegallery/onlineex/royal/hastings/,"On 14 October 1066 the decisive battle took place near Hastings, where King Harold was killed.",established,yes,"The transformation of Anglo-Saxon England under William the Conqueror",established,no
CLM-025,Sealing of the Magna Carta at Runnymede,1215,date,https://www.bl.uk/magna-carta,"On 15 June 1215 King John granted the charter of liberties known as Magna Carta.",established,yes,"The constitutional cornerstone limiting absolute monarchical power",established,no
CLM-026,James Watt patent for separate condenser steam engine,1769,date,https://www.scienceandindustrymuseum.org.uk/objects-and-stories/james-watt,"In 1769 James Watt patented his separate condenser, launching the modern Industrial Revolution.",established,yes,"The thermal engine that powered the factories of Great Britain",established,no
CLM-027,Peak British Empire share of global land surface,24,percent,https://www.britannica.com/place/British-Empire,"At its peak in 1920 the British Empire covered roughly 24% of the Earth's total land area.",established,yes,"Nearly one-quarter of the global terrestrial surface",established,no
CLM-028,Peak land area of the British Empire,35500000,square kilometers,https://www.britannica.com/place/British-Empire,"The British Empire reached approximately 35.5 million square kilometers (13.7 million sq mi).",established,yes,"The largest contiguous and oceanic empire in human history",established,yes
CLM-029,Peak population of the British Empire,412000000,people,https://www.britannica.com/place/British-Empire,"Comprising approximately 412 million people, or one-fifth of the world's population at the time.",established,yes,"One-fifth of all humanity living under the British Crown",established,no
CLM-030,Target duration of documentary short,60,seconds,https://support.google.com/youtube/answer/10059070,"YouTube Shorts format is strictly constrained to a runtime under 60 seconds.",established,yes,"Short-form mobile video vertical window",established,no
CLM-031,Span of recorded English historical development,2000,years,https://www.britannica.com/place/England,"Spanning over 2,000 years from Roman Britannia to the modern era.",established,yes,"Two millennia of uninterrupted historical records",established,no
CLM-032,Number of Anglo-Saxon kingdoms forming the Heptarchy,7,kingdoms,https://www.britannica.com/topic/heptarchy,"The collective name for the seven Anglo-Saxon kingdoms of southeastern Britain.",established,yes,"The seven fractured realms before Wessex unification",established,no
CLM-033,London Blitz defensive campaign,1940,date,https://www.iwm.org.uk/history/the-blitz-around-britain,"The intensive bombing campaign of the United Kingdom by Nazi Germany beginning in 1940.",established,yes,"Eight months of nightly aerial bombardment",established,no
CLM-034,End of World War II in Europe,1945,date,https://www.iwm.org.uk/history/what-was-ve-day,"Victory in Europe Day commemorated on 8 May 1945.",established,yes,"The cessation of hostilities marking the beginning of decolonization",established,no
CLM-035,King Harold struck in the eye by arrow at Hastings,1066,date,https://www.bl.uk/onlinegallery/onlineex/royal/hastings/,"Traditional legend holds that Harold was killed by an arrow in the eye, though modern historians dispute whether the embroidered tapestry depicts this.",legend,no,"According to legend Harold was struck down by an arrow",legend,no
CLM-036,Year of the Antwerp Diamond Center heist,2003,date,https://www.wired.com/2009/03/ff-diamonds-2/,"Over the weekend of February 15-16, 2003, a team of Italian thieves executed the Antwerp Diamond Heist.",established,yes,"Valentine's Day weekend 2003",established,yes
CLM-037,Number of security layers bypassed in Antwerp vault,10,layers,https://www.wired.com/2009/03/ff-diamonds-2/,"The vault was protected by 10 layers of security including magnetic, infrared, seismic, and Doppler radar detectors.",established,yes,"Ten layers of military-grade security",established,yes
CLM-038,Estimated value of stolen loose diamonds and bullion,100,million USD,https://www.wired.com/2009/03/ff-diamonds-2/,"Estimated over $100 million in diamonds, gold, and jewelry was stolen.",established,yes,"Over one hundred million dollars in loot",established,yes
CLM-039,Subterranean depth of Antwerp Diamond Center vault,2,floors,https://www.wired.com/2009/03/ff-diamonds-2/,"The vault was located two stories underground beneath the diamond center.",established,yes,"Two subterranean levels underground",established,yes
CLM-040,Duration Leonardo Notarbartolo rented office in Diamond Center,30,months,https://www.wired.com/2009/03/ff-diamonds-2/,"Notarbartolo rented an office in the Antwerp Diamond Center for two and a half years (30 months).",established,yes,"Thirty months undercover as a diamond dealer",established,yes
CLM-041,Number of safe deposit boxes looted in Antwerp vault,109,boxes,https://www.wired.com/2009/03/ff-diamonds-2/,"The thieves cracked open 109 of the 189 safe deposit boxes inside the vault.",established,yes,"One hundred and nine deposit boxes pried open",established,yes
CLM-042,Belgian highway where getaway evidence was dumped,19,highway,https://www.wired.com/2009/03/ff-diamonds-2/,"The getaway vehicle pulled off Highway E19 into the Floordambos woods.",established,yes,"Off Highway E19 in Belgium",established,yes
CLM-043,Prison sentence handed to Leonardo Notarbartolo,10,years,https://www.wired.com/2009/03/ff-diamonds-2/,"Leonardo Notarbartolo was sentenced to 10 years in prison in 2005.",established,yes,"Ten-year criminal sentence",established,yes
CLM-044,Zero alarms triggered during vault breach,0,alarms,https://www.wired.com/2009/03/ff-diamonds-2/,"The thieves breached the vault without triggering a single alarm.",established,yes,"Zero alarms tripped",established,yes
